"participant","prompt","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","dimension","slider_response"
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>baggy bottom</p>","baggybottom-p07-is","p07","baggybottom","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","is","TRAPInnovative","tInnovative",TRUE,2,"gender",0.37
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cotton button</p>","cottonbutton-p04-rr","p04","cottonbutton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","rr","tConservative","tConservative",TRUE,2,"gender",0.528
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>party cotton</p>","partycotton-p07-sr","p07","partycotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","sr","tInnovative","tConservative",FALSE,2,"gender",0.545
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cabin gutter</p>","cabingutter-p06-ir","p06","cabingutter","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","ir","TRAPInnovative","tConservative",FALSE,2,"gender",0.666
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>badder cabin</p>","baddercabin-p08-ic","p08","baddercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,"gender",0.36
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>party button</p>","partybutton-p06-ss","p06","partybutton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","ss","tInnovative","tInnovative",TRUE,2,"gender",0.476
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>bottom baggy</p>","bottombaggy-p07-ri","p07","bottombaggy","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ri","tConservative","TRAPInnovative",FALSE,2,"gender",0.593
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>bottom dagger</p>","bottomdagger-p04-sc","p04","bottomdagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","sc","tInnovative","TRAPConservative",FALSE,2,"gender",0.638
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>dotty dagger</p>","dottydagger-p01-si","p01","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","si","tInnovative","TRAPInnovative",TRUE,2,"gender",0.773
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>cabin gutter</p>","cabingutter-p05-cr","p05","cabingutter","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cr","TRAPConservative","tConservative",TRUE,2,"gender",0.602
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>tagger cabin</p>","taggercabin-p06-cc","p06","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,"gender",0.547
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>badder cabin</p>","baddercabin-p07-cc","p07","baddercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,"gender",0.383
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>badder party</p>","badderparty-p04-cr","p04","badderparty","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cr","TRAPConservative","tConservative",TRUE,2,"gender",0.568
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>dagger party</p>","daggerparty-p05-ir","p05","daggerparty","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","ir","TRAPInnovative","tConservative",FALSE,2,"gender",0.716
