"participant","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","binary_response","dimension","binary_response_numeric"
"exp62","taggercabin-p01-ci","p01","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,"older","age",1
"exp62","baddercabin-p06-cc","p06","baddercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,"younger","age",0
"exp62","taggercabin-p07-ii","p07","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,"older","age",1
"exp62","cabintagger-p05-ii","p05","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,"older","age",1
"exp62","dottycabin-p08-ri","p08","dottycabin","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,2,"older","age",1
"exp62","dapperdagger-p08-ci","p08","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,"younger","age",0
"exp62","partybutton-p04-rs","p04","partybutton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,2,"older","age",1
"exp62","bottomcabin-p04-si","p04","bottomcabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,2,"older","age",1
"exp62","dapperparty-p01-cs","p01","dapperparty","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,2,"older","age",1
"exp62","dottybutter-p05-ss","p05","dottybutter","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,2,"older","age",1
"exp62","cabintagger-p04-ii","p04","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,"older","age",1
"exp62","baggygarter-p01-is","p01","baggygarter","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,2,"older","age",1
"exp62","bottomcotton-p08-sr","p08","bottomcotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,2,"younger","age",0
"exp62","bottomcotton-p04-sr","p04","bottomcotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,2,"older","age",1
"exp62","cabingutter-p05-cs","p05","cabingutter","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,2,"older","age",1
"exp62","dapperparty-p08-is","p08","dapperparty","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,2,"older","age",1
"exp62","cabinparty-p04-ir","p04","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,2,"older","age",1
"exp62","taggercabin-p05-cc","p05","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,"older","age",1
"exp62","cabinparty-p08-cr","p08","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,2,"younger","age",0
