Filename,Mean_F0_(Hz),experiment
p_05-20240604-1044-50.wav,104.74,vowel_and_t
p_05-20240604-1044-51.wav,131.66,vowel_and_t
p_05-20240604-1044-52.wav,91.29,vowel_and_t
p_05-20240604-1044-53.wav,95.35,vowel_and_t
p_05-20240604-1044-54.wav,95.64,vowel_and_t
p_05-20240604-1044-55.wav,102.89,vowel_and_t
p_05-20240604-1044-56.wav,111.04,vowel_and_t
p_05-20240604-1044-57.wav,94.83,vowel_and_t
p_05-20240604-1044-58.wav,134.12,vowel_and_t
p_05-20240604-1044-59.wav,120.15,vowel_and_t
p_05-20240604-1044-60.wav,91.22,vowel_and_t
p_05-20240604-1044-61.wav,98.81,vowel_and_t
p_05-20240604-1044-62.wav,96.53,vowel_and_t
p_05-20240604-1044-63.wav,91.32,vowel_and_t
p_05-20240604-1044-64.wav,91.01,vowel_and_t
p_05-20240604-1044-65.wav,95.18,vowel_and_t
p_05-20240604-1044-66.wav,111.2,vowel_and_t
p_05-20240604-1044-67.wav,115.95,vowel_and_t
p_05-20240604-1044-68.wav,96.24,vowel_and_t
p_05-20240604-1044-69.wav,99.6,vowel_and_t
p_05-20240604-1044-70.wav,142.09,vowel_and_t
p_05-20240604-1044-71.wav,111.05,vowel_and_t
p_05-20240604-1044-72.wav,95.13,vowel_and_t
p_05-20240604-1044-73.wav,98.07,vowel_and_t
p_05-20240604-1044-74.wav,99.27,vowel_and_t
p_05-20240604-1044-75.wav,92.15,vowel_and_t
p_05-20240604-1044-76.wav,105.21,vowel_and_t
p_05-20240604-1044-77.wav,104.34,vowel_and_t
p_05-20240604-1044-78.wav,116.13,vowel_and_t
p_05-20240604-1044-79.wav,97.64,vowel_and_t
p_05-20240604-1044-80.wav,97.91,vowel_and_t
p_05-20240604-1044-81.wav,91.01,vowel_and_t
p_05-20240604-1044-82.wav,118.45,vowel_and_t
p_05-20240604-1044-83.wav,97.44,vowel_and_t
p_05-20240604-1044-84.wav,109.56,vowel_and_t
p_05-20240604-1044-85.wav,106.54,vowel_and_t
p_05-20240604-1044-86.wav,96.58,vowel_and_t
p_05-20240604-1044-87.wav,112.88,vowel_and_t
p_05-20240604-1044-88.wav,112.91,vowel_and_t
p_05-20240604-1044-89.wav,114.83,vowel_and_t
p_05-20240604-1044-90.wav,131.53,vowel_and_t
p_05-20240604-1044-91.wav,130.04,vowel_and_t
p_06-20240604-1115-01.wav,99.22,vowels_only
p_06-20240604-1115-02.wav,239.23,vowels_only
p_06-20240604-1115-03.wav,94.47,vowels_only
p_06-20240604-1115-04.wav,113.19,vowels_only
p_06-20240604-1115-05.wav,93.18,vowels_only
p_06-20240604-1115-06.wav,96.93,vowels_only
p_06-20240604-1115-07.wav,154.02,vowels_only
p_06-20240604-1115-08.wav,119.82,vowels_only
p_06-20240604-1115-09.wav,222.67,vowels_only
p_06-20240604-1115-10.wav,227.18,vowels_only
p_06-20240604-1115-11.wav,182.67,vowels_only
p_06-20240604-1115-12.wav,93.48,vowels_only
p_06-20240604-1115-13.wav,274.88,vowels_only
p_06-20240604-1115-14.wav,136.25,vowels_only
p_06-20240604-1115-15.wav,102.22,vowels_only
p_06-20240604-1115-16.wav,154.35,vowels_only
p_06-20240604-1115-17.wav,103.93,vowels_only
p_06-20240604-1115-18.wav,115.17,vowels_only
p_06-20240604-1115-19.wav,275.77,vowels_only
p_06-20240604-1115-20.wav,138.3,vowels_only
p_06-20240604-1115-21.wav,100.64,vowels_only
p_06-20240604-1115-22.wav,113.13,vowels_only
p_06-20240604-1115-23.wav,96.29,vowels_only
p_06-20240604-1115-24.wav,124.93,vowels_only
p_06-20240604-1115-25.wav,193.61,vowels_only
p_06-20240604-1115-26.wav,177.88,vowels_only
p_06-20240604-1115-27.wav,98.19,vowels_only
p_06-20240604-1115-28.wav,99.29,vowels_only
